Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-March-2020,3079.85,3151.00,3050.85,3117.10,3102.561007646479335741,21317,2893,66137293.00,4733,22.20,100.15,37.25
30-March-2020,2900.00,3048.00,2821.70,2994.15,2957.854870129870129870,123200,3632,364407720.00,102217,82.97,226.30,94.15
27-March-2020,3017.85,3046.90,2848.60,2917.00,2947.531930773895601063,21437,2921,63186242.00,2486,11.60,198.30,-100.85
26-March-2020,2951.00,3067.35,2880.90,2943.15,2968.648488898026315789,19456,2710,57758025.00,4134,21.25,186.45,-7.85
25-March-2020,2858.00,2946.35,2797.70,2924.50,2883.790466249130132219,14370,2589,41440069.00,2855,19.87,148.65,66.50
24-March-2020,2895.00,2958.40,2800.05,2858.65,2858.698555805993822522,23958,2862,68488700.00,7480,31.22,158.35,-36.35
23-March-2020,2700.00,3187.00,2651.00,2765.70,2778.494276780479633713,214914,2367,597137319.00,198378,92.31,536.00,65.70
20-March-2020,2750.00,2946.35,2650.00,2898.10,2836.331567567567567567,37000,7026,104944268.00,6882,18.60,296.35,148.10
19-March-2020,2623.95,2680.85,2497.60,2622.75,2582.362035810435451476,23401,4624,60429854.00,2314,9.89,183.25,-1.20
18-March-2020,2892.00,2892.00,2625.00,2667.75,2691.618543138069519457,14442,1757,38872355.00,2481,17.18,267.00,-224.25
17-March-2020,2800.00,2902.00,2759.55,2791.15,2849.858626198083067092,15024,1352,42816276.00,1724,11.47,142.45,-8.85
